,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category
390,Jamaica,LAC,Latin America and Caribbean,2017,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.055267781,0.233818337,1.612325668,middle-low
391,Croatia,CEE,Central and Eastern Europe,2017,77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.04310311,0.248002976,1.854492426,middle-low
392,Kosovo,CEE,Central and Eastern Europe,2017,78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.057471618,0.319931448,2.010540724,middle-low
393,China,EA,East Asia,2017,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,1.764938593,middle-low
394,Pakistan,SA,South Asia,2017,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.124348067,0.315446019,2.79248929,middle-low
395,Indonesia,SEA,Southeast Asia,2017,81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.015317135,0.611704588,1.429476976,middle-low
396,Venezuela,LAC,Latin America and Caribbean,2017,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.064491123,0.06501963,1.789463758,middle-low
397,Montenegro,CEE,Central and Eastern Europe,2017,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.088174194,0.197911024,1.729191542,middle-low
398,Morocco,MENA,Middle East and North Africa,2017,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.087763183,0.032209955,2.456189394,middle-low
399,Azerbaijan,CIS,Commonwealth of Independent States,2017,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,1.762481689,middle-low
400,Dominican Republic,LAC,Latin America and Caribbean,2017,86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.113945253,0.18696785,1.31946516,middle-low
401,Greece,WE,Western Europe,2017,87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.043289777,0.0,1.749221563,middle-low
402,Lebanon,MENA,Middle East and North Africa,2017,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.03751383,0.264450759,1.695073843,middle-low
403,Portugal,WE,Western Europe,2017,89,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.015869452,0.095102713,1.107682705,middle-low
404,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2017,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.0,0.328867495,1.892172575,middle-low
405,Honduras,LAC,Latin America and Caribbean,2017,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.073345453,0.236188874,2.065811157,middle-low
406,Macedonia,CEE,Central and Eastern Europe,2017,92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.060277794,0.253760964,1.617469311,middle-low
407,Somalia,SSA,Sub-Saharan Africa,2017,93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.282410324,0.291631311,3.11748457,middle-low
408,Vietnam,SEA,Southeast Asia,2017,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.087633237,0.234968051,1.462318659,middle-low
409,Nigeria,SSA,Sub-Saharan Africa,2017,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.026121566,0.230947196,2.365390539,middle-low
410,Tajikistan,CIS,Commonwealth of Independent States,2017,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.146377146,0.248997644,1.84904933,middle-low
411,Bhutan,SA,South Asia,2017,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,1.140184402,middle-low
412,Kyrgyzstan,CIS,Commonwealth of Independent States,2017,98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.039439179,0.428580374,1.536723137,middle-low
413,Nepal,SA,South Asia,2017,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.072975546,0.394096166,1.891241074,middle-low
414,Mongolia,EA,East Asia,2017,100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.032902289,0.33846423,1.111292362,middle-low
415,South Africa,SSA,Sub-Saharan Africa,2017,101,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.072509497,0.13936238,1.510908604,middle-low
416,Tunisia,MENA,Middle East and North Africa,2017,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.086723149,0.049693357,1.89025116,middle-low
417,Palestinian Territories,MENA,Middle East and North Africa,2017,103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.089282602,0.114173174,1.878890276,middle-low
418,Egypt,MENA,Middle East and North Africa,2017,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.114381365,0.128631443,1.702161074,middle-low
419,Bulgaria,CEE,Central and Eastern Europe,2017,105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,0.996139288,middle-low
420,Sierra Leone,SSA,Sub-Saharan Africa,2017,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.071095176,0.293040901,2.668459892,middle-low
421,Cameroon,SSA,Sub-Saharan Africa,2017,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.051306631,0.236298457,2.333645582,middle-low
422,Iran,MENA,Middle East and North Africa,2017,108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.048761073,0.387242913,1.498734951,middle-low
423,Albania,CEE,Central and Eastern Europe,2017,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,1.490441561,middle-low
424,Bangladesh,SA,South Asia,2017,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,1.978736162,middle-low
425,Namibia,SSA,Sub-Saharan Africa,2017,111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.093146972,0.077133745,1.481890202,middle-low
426,Kenya,SSA,Sub-Saharan Africa,2017,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.064641319,0.444860309,1.651902199,middle-low
427,Mozambique,SSA,Sub-Saharan Africa,2017,113,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.179436386,0.322228104,2.355650902,middle-low
428,Myanmar,SEA,Southeast Asia,2017,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.188816205,0.838075161,1.115290403,middle-low
429,Senegal,SSA,Sub-Saharan Africa,2017,115,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.115460448,0.183468893,1.789646149,middle-low
430,Zambia,SSA,Sub-Saharan Africa,2017,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.07821355,0.249580145,1.826705456,middle-low
431,Iraq,MENA,Middle East and North Africa,2017,117,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.107215755,0.199637264,1.318907261,middle-low
432,Gabon,SSA,Sub-Saharan Africa,2017,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.076046787,0.043785378,1.322916269,middle-low
433,Ethiopia,SSA,Sub-Saharan Africa,2017,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.165455714,0.31265074,2.015743732,middle-low
434,Sri Lanka,SA,South Asia,2017,120,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.073653966,0.490863562,0.419389248,middle-low
435,Armenia,CIS,Commonwealth of Independent States,2017,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,1.521499157,middle-low
436,India,SA,South Asia,2017,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.092226885,0.231538489,1.519117117,middle-low
437,Mauritania,SSA,Sub-Saharan Africa,2017,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.136957005,0.201870024,1.651637316,middle-low
438,Congo (Brazzaville),SSA,Sub-Saharan Africa,2017,124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.079618134,0.120852128,1.724135637,middle-low
439,Georgia,CIS,Commonwealth of Independent States,2017,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.251666635,0.054008815,1.500137806,middle-low
440,Congo (Kinshasa),SSA,Sub-Saharan Africa,2017,126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.060241356,0.246455833,2.224958658,middle-low
441,Mali,SSA,Sub-Saharan Africa,2017,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.104970247,0.183354199,1.668190956,middle-low
442,Ivory Coast,SSA,Sub-Saharan Africa,2017,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.130061775,0.20123747,1.844964266,middle-low
443,Cambodia,SEA,Southeast Asia,2017,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968,1.042941093,middle-low
444,Sudan,SSA,Sub-Saharan Africa,2017,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.08984752,0.182317451,1.68706584,middle-low
445,Ghana,SSA,Sub-Saharan Africa,2017,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.02533637,0.256923944,1.577867508,middle-low
446,Ukraine,CEE,Central and Eastern Europe,2017,132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.023029471,0.270061463,0.814382315,middle-low
447,Uganda,SSA,Sub-Saharan Africa,2017,133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.057069719,0.325766057,1.526362658,middle-low
448,Burkina Faso,SSA,Sub-Saharan Africa,2017,134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685,1.727212906,middle-low
449,Niger,SSA,Sub-Saharan Africa,2017,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.138572946,0.228673846,1.873983383,middle-low
450,Malawi,SSA,Sub-Saharan Africa,2017,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.072711654,0.28717047,2.081786156,low
451,Chad,SSA,Sub-Saharan Africa,2017,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.053581882,0.21611385,2.071238041,low
452,Zimbabwe,SSA,Sub-Saharan Africa,2017,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.095375381,0.189143494,1.597970247,low
453,Lesotho,SSA,Sub-Saharan Africa,2017,139,3.808000088,0.521021247,1.190095186,0.0,0.390661299,0.11909464,0.157497272,1.42983532,low
454,Angola,SSA,Sub-Saharan Africa,2017,140,3.795000076,0.85842818,1.10441196,0.049868666,0.0,0.069720335,0.09792649,1.614482403,low
455,Afghanistan,SA,South Asia,2017,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,2.150801182,low
456,Botswana,SSA,Sub-Saharan Africa,2017,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,0.377913713,low
457,Benin,SSA,Sub-Saharan Africa,2017,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,1.885630965,low
458,Madagascar,SSA,Sub-Saharan Africa,2017,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.067231975,0.20873253,1.584612608,low
459,Haiti,LAC,Latin America and Caribbean,2017,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.09987215,0.489203781,1.697167635,low
460,Yemen,MENA,Middle East and North Africa,2017,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.056767423,0.104125209,1.345600605,low
461,South Sudan,SSA,Sub-Saharan Africa,2017,147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.116793513,0.285670817,1.879567385,low
462,Liberia,SSA,Sub-Saharan Africa,2017,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.038948249,0.266549885,1.673285961,low
463,Guinea,SSA,Sub-Saharan Africa,2017,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.110937618,0.264815092,1.552311897,low
464,Togo,SSA,Sub-Saharan Africa,2017,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.095665015,0.196896151,1.837229252,low
465,Rwanda,SSA,Sub-Saharan Africa,2017,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.455220014,0.252756029,0.540061235,low
466,Syria,MENA,Middle East and North Africa,2017,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.151347131,0.493663728,1.061573505,low
467,Tanzania,SSA,Sub-Saharan Africa,2017,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.066035107,0.354256362,0.621130466,low
468,Burundi,SSA,Sub-Saharan Africa,2017,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185,1.683024168,low
469,Central African Republic,SSA,Sub-Saharan Africa,2017,155,2.693000078,0.0,0.0,0.018772686,0.270842046,0.056565076,0.280876487,2.066004753,low
470,Finland,WE,Western Europe,2018,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,0.0,high
471,Norway,WE,Western Europe,2018,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,0.0,high
472,Denmark,WE,Western Europe,2018,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,0.0,high
473,Iceland,WE,Western Europe,2018,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,0.0,high
474,Switzerland,WE,Western Europe,2018,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,0.0,high
475,Netherlands,WE,Western Europe,2018,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,0.0,high
476,Canada,NAANZ,North America and ANZ,2018,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,0.0,high
477,New Zealand,NAANZ,North America and ANZ,2018,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,0.0,high
478,Sweden,WE,Western Europe,2018,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,0.0,high
479,Australia,NAANZ,North America and ANZ,2018,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,0.0,high
480,United Kingdom,WE,Western Europe,2018,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,0.0,high
481,Austria,WE,Western Europe,2018,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,0.0,high
482,Costa Rica,LAC,Latin America and Caribbean,2018,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,0.0,high
483,Ireland,WE,Western Europe,2018,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,0.0,middle-high
484,Germany,WE,Western Europe,2018,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,0.0,middle-high
485,Belgium,WE,Western Europe,2018,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,0.0,middle-high
486,Luxembourg,WE,Western Europe,2018,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,0.0,middle-high
487,United States,NAANZ,North America and ANZ,2018,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,0.0,middle-high
488,Israel,MENA,Middle East and North Africa,2018,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,0.0,middle-high
489,United Arab Emirates,MENA,Middle East and North Africa,2018,20,6.774,2.096,0.776,0.67,0.284,0.277306,0.186,0.0,middle-high
490,Czech Republic,CEE,Central and Eastern Europe,2018,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,0.0,middle-high
491,Malta,WE,Western Europe,2018,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,0.0,middle-high
492,France,WE,Western Europe,2018,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,0.0,middle-high
493,Mexico,LAC,Latin America and Caribbean,2018,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,0.0,middle-high
494,Chile,LAC,Latin America and Caribbean,2018,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,0.0,middle-high
495,Taiwan Province of China,SA,South Asia,2018,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,0.0,middle-high
496,Panama,LAC,Latin America and Caribbean,2018,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,0.0,middle-high
497,Brazil,LAC,Latin America and Caribbean,2018,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,0.0,middle-high
498,Argentina,LAC,Latin America and Caribbean,2018,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,0.0,middle-high
499,Guatemala,LAC,Latin America and Caribbean,2018,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,0.0,middle-high
500,Uruguay,LAC,Latin America and Caribbean,2018,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,0.0,middle-high
501,Qatar,MENA,Middle East and North Africa,2018,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,0.0,middle-high
502,Saudi Arabia,MENA,Middle East and North Africa,2018,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,0.0,middle-high
503,Singapore,SEA,Southeast Asia,2018,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,0.0,middle-high
504,Malaysia,SEA,Southeast Asia,2018,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,0.0,middle-high
505,Spain,WE,Western Europe,2018,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,0.0,middle-high
506,Colombia,LAC,Latin America and Caribbean,2018,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,0.0,middle-high
507,Trinidad and Tobago,LAC,Latin America and Caribbean,2018,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171,0.0,middle-high
508,Slovakia,CEE,Central and Eastern Europe,2018,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,0.0,middle-high
509,El Salvador,LAC,Latin America and Caribbean,2018,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,0.0,middle-high
510,Nicaragua,LAC,Latin America and Caribbean,2018,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,0.0,middle-high
511,Poland,CEE,Central and Eastern Europe,2018,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,0.0,middle-high
512,Bahrain,MENA,Middle East and North Africa,2018,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,0.0,middle-high
513,Uzbekistan,CIS,Commonwealth of Independent States,2018,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,0.0,middle-high
514,Kuwait,MENA,Middle East and North Africa,2018,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,0.0,middle-high
515,Thailand,SEA,Southeast Asia,2018,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,0.0,middle-high
516,Italy,WE,Western Europe,2018,47,6.0,1.264,1.501,0.946,0.281,0.028,0.137,0.0,middle-high
517,Ecuador,LAC,Latin America and Caribbean,2018,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,0.0,middle-high
518,Belize,LAC,Latin America and Caribbean,2018,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,0.0,middle-high
519,Lithuania,CEE,Central and Eastern Europe,2018,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,0.0,middle-high
520,Slovenia,CEE,Central and Eastern Europe,2018,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16,0.0,middle-high
521,Romania,CEE,Central and Eastern Europe,2018,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,0.0,middle-high
522,Latvia,CEE,Central and Eastern Europe,2018,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,0.0,middle-high
523,Japan,EA,East Asia,2018,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,0.0,middle-high
524,Mauritius,SSA,Sub-Saharan Africa,2018,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245,0.0,middle-high
525,Jamaica,LAC,Latin America and Caribbean,2018,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,0.0,middle-high
526,South Korea,EA,East Asia,2018,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,0.0,middle-high
527,North Cyprus,WE,Western Europe,2018,58,5.835,1.229,1.211,0.909,0.495,0.154,0.179,0.0,middle-high
528,Russia,CIS,Commonwealth of Independent States,2018,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065,0.0,middle-high
529,Kazakhstan,CIS,Commonwealth of Independent States,2018,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,0.0,middle-high
530,Cyprus,WE,Western Europe,2018,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,0.0,middle-high
531,Bolivia,LAC,Latin America and Caribbean,2018,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,0.0,middle-high
532,Estonia,CEE,Central and Eastern Europe,2018,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,0.0,middle-high
533,Paraguay,LAC,Latin America and Caribbean,2018,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162,0.0,middle-high
534,Peru,LAC,Latin America and Caribbean,2018,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092,0.0,middle-high
535,Kosovo,CEE,Central and Eastern Europe,2018,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274,0.0,middle-high
536,Moldova,CEE,Central and Eastern Europe,2018,67,5.64,0.657,1.301,0.62,0.232,0.0,0.171,0.0,middle-high
537,Turkmenistan,CIS,Commonwealth of Independent States,2018,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199,0.0,middle-high
538,Hungary,CEE,Central and Eastern Europe,2018,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,0.0,middle-high
539,Libya,MENA,Middle East and North Africa,2018,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116,0.0,middle-high
540,Philippines,SEA,Southeast Asia,2018,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12,0.0,middle-high
541,Honduras,LAC,Latin America and Caribbean,2018,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,0.0,middle-high
542,Belarus,CIS,Commonwealth of Independent States,2018,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,0.0,middle-low
543,Turkey,MENA,Middle East and North Africa,2018,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106,0.0,middle-low
544,Pakistan,SA,South Asia,2018,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216,0.0,middle-low
545,Hong Kong,EA,East Asia,2018,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246,0.0,middle-low
546,Portugal,WE,Western Europe,2018,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055,0.0,middle-low
547,Serbia,CEE,Central and Eastern Europe,2018,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134,0.0,middle-low
548,Greece,WE,Western Europe,2018,79,5.358,1.154,1.202,0.879,0.131,0.044,0.0,0.0,middle-low
549,Lebanon,MENA,Middle East and North Africa,2018,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,0.0,middle-low
550,Montenegro,CEE,Central and Eastern Europe,2018,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111,0.0,middle-low
551,Croatia,CEE,Central and Eastern Europe,2018,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,0.0,middle-low
552,Dominican Republic,LAC,Latin America and Caribbean,2018,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,0.0,middle-low
553,Algeria,MENA,Middle East and North Africa,2018,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,0.0,middle-low
554,Morocco,MENA,Middle East and North Africa,2018,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026,0.0,middle-low
555,China,EA,East Asia,2018,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,0.0,middle-low
556,Azerbaijan,CIS,Commonwealth of Independent States,2018,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,0.0,middle-low
557,Tajikistan,CIS,Commonwealth of Independent States,2018,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,0.0,middle-low
558,Macedonia,CEE,Central and Eastern Europe,2018,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173,0.0,middle-low
559,Jordan,MENA,Middle East and North Africa,2018,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,0.0,middle-low
560,Nigeria,SSA,Sub-Saharan Africa,2018,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201,0.0,middle-low
561,Kyrgyzstan,CIS,Commonwealth of Independent States,2018,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,0.0,middle-low
562,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2018,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216,0.0,middle-low
563,Mongolia,EA,East Asia,2018,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253,0.0,middle-low
564,Vietnam,SEA,Southeast Asia,2018,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177,0.0,middle-low
565,Indonesia,SEA,Southeast Asia,2018,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484,0.0,middle-low
566,Bhutan,SA,South Asia,2018,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,0.0,middle-low
567,Somalia,SSA,Sub-Saharan Africa,2018,98,4.982,0.0,0.712,0.115,0.674,0.282,0.238,0.0,middle-low
568,Cameroon,SSA,Sub-Saharan Africa,2018,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,0.0,middle-low
569,Bulgaria,CEE,Central and Eastern Europe,2018,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,0.0,middle-low
570,Nepal,SA,South Asia,2018,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,0.0,middle-low
571,Venezuela,LAC,Latin America and Caribbean,2018,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056,0.0,middle-low
572,Gabon,SSA,Sub-Saharan Africa,2018,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032,0.0,middle-low
573,Palestinian Territories,MENA,Middle East and North Africa,2018,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,0.0,middle-low
574,South Africa,SSA,Sub-Saharan Africa,2018,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,0.0,middle-low
575,Iran,MENA,Middle East and North Africa,2018,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,0.0,middle-low
576,Ivory Coast,SSA,Sub-Saharan Africa,2018,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146,0.0,middle-low
577,Ghana,SSA,Sub-Saharan Africa,2018,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,0.0,middle-low
578,Senegal,SSA,Sub-Saharan Africa,2018,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138,0.0,middle-low
579,Laos,SEA,Southeast Asia,2018,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,0.0,middle-low
580,Tunisia,MENA,Middle East and North Africa,2018,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04,0.0,middle-low
581,Albania,CEE,Central and Eastern Europe,2018,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,0.0,middle-low
582,Sierra Leone,SSA,Sub-Saharan Africa,2018,113,4.571,0.256,0.813,0.0,0.355,0.053,0.238,0.0,middle-low
583,Congo (Brazzaville),SSA,Sub-Saharan Africa,2018,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,0.0,middle-low
584,Bangladesh,SA,South Asia,2018,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,0.0,middle-low
585,Sri Lanka,SA,South Asia,2018,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307,0.0,middle-low
586,Iraq,MENA,Middle East and North Africa,2018,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,0.0,middle-low
587,Mali,SSA,Sub-Saharan Africa,2018,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139,0.0,middle-low
588,Namibia,SSA,Sub-Saharan Africa,2018,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051,0.0,middle-low
589,Cambodia,SEA,Southeast Asia,2018,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,0.0,middle-low
590,Burkina Faso,SSA,Sub-Saharan Africa,2018,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,0.0,middle-low
