,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
591,Egypt,MENA,Middle East and North Africa,2018,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,0,middle-low,1.056610142,-0.935622648,0.350180689,2,medium
592,Mozambique,SSA,Sub-Saharan Africa,2018,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206,0,middle-low,1.937584602,1.23485405,0.393386461,1,low
593,Kenya,SSA,Sub-Saharan Africa,2018,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,0,middle-low,1.199168602,1.086200403,-1.180758838,1,low
594,Zambia,SSA,Sub-Saharan Africa,2018,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221,0,middle-low,1.43195968,0.529301676,-0.204077656,1,low
595,Mauritania,SSA,Sub-Saharan Africa,2018,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,0,middle-low,2.082519189,-0.908871418,-0.496118381,1,low
596,Ethiopia,SSA,Sub-Saharan Africa,2018,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,0,middle-low,1.595957024,0.804439989,-0.01122061,1,low
597,Georgia,CIS,Commonwealth of Independent States,2018,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,0,middle-low,1.075581286,-0.389876097,1.789099302,1,low
598,Armenia,CIS,Commonwealth of Independent States,2018,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,0,middle-low,1.325546527,-1.540495946,-0.059184001,2,medium
599,Myanmar,SEA,Southeast Asia,2018,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598,0,middle-low,0.357927006,3.134975385,-1.921089164,1,low
600,Chad,SSA,Sub-Saharan Africa,2018,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,0,middle-low,3.08070382,-0.083245742,-0.263532155,1,low
601,Congo (Kinshasa),SSA,Sub-Saharan Africa,2018,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,0,middle-low,2.582837909,0.087776908,-0.770102018,1,low
602,India,SA,South Asia,2018,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,0,middle-low,1.262991972,0.330480306,0.55238416,1,low
603,Niger,SSA,Sub-Saharan Africa,2018,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175,0,middle-low,2.553147229,0.488181658,0.08661068,1,low
604,Uganda,SSA,Sub-Saharan Africa,2018,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259,0,middle-low,1.988412445,0.688921427,-0.708195807,1,low
605,Benin,SSA,Sub-Saharan Africa,2018,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,0,middle-low,2.830951761,0.600216063,0.888650218,1,low
606,Sudan,SSA,Sub-Saharan Africa,2018,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134,0,middle-low,2.383583123,-1.242450961,-0.684066311,1,low
607,Ukraine,CEE,Central and Eastern Europe,2018,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187,0,middle-low,1.26897722,-1.404446558,-1.451075145,2,medium
608,Togo,SSA,Sub-Saharan Africa,2018,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158,0,low,2.801678662,0.685328412,0.861125581,1,low
609,Guinea,SSA,Sub-Saharan Africa,2018,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185,0,low,2.530172543,0.49802276,0.233000083,1,low
610,Lesotho,SSA,Sub-Saharan Africa,2018,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116,0,low,2.133394105,-0.014394212,0.274535647,1,low
611,Angola,SSA,Sub-Saharan Africa,2018,142,3.795,0.73,1.125,0.269,0,0.061,0.079,0,low,2.736725158,-1.636861903,-0.240539367,1,low
612,Madagascar,SSA,Sub-Saharan Africa,2018,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155,0,low,2.726919901,-0.483144791,-0.380555254,1,low
613,Zimbabwe,SSA,Sub-Saharan Africa,2018,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132,0,low,2.195122015,-0.024285714,0.11897824,1,low
614,Afghanistan,SA,South Asia,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,0,low,3.75702851,-0.256327933,-0.162632856,1,low
615,Botswana,SSA,Sub-Saharan Africa,2018,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,0,low,0.865883997,-0.794748889,0.868003971,2,medium
616,Malawi,SSA,Sub-Saharan Africa,2018,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21,0,low,2.68979559,1.06471952,0.469643911,1,low
617,Haiti,LAC,Latin America and Caribbean,2018,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,0,low,3.402566306,0.980751426,-1.313124771,1,low
618,Liberia,SSA,Sub-Saharan Africa,2018,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,0,low,2.925299799,0.430868194,-0.377425608,1,low
619,Syria,MENA,Middle East and North Africa,2018,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376,0,low,2.760268603,1.034031516,-0.462722052,1,low
620,Rwanda,SSA,Sub-Saharan Africa,2018,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2,0,low,0.874041624,2.470237,1.859874252,1,low
621,Yemen,MENA,Middle East and North Africa,2018,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083,0,low,2.584092068,-0.942860175,0.012533868,1,low
622,Tanzania,SSA,Sub-Saharan Africa,2018,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27,0,low,1.913966776,0.876051116,-0.416216899,1,low
623,South Sudan,SSA,Sub-Saharan Africa,2018,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224,0,low,3.72858766,0.342810773,-0.014383334,1,low
624,Central African Republic,SSA,Sub-Saharan Africa,2018,155,3.083,0.024,0,0.01,0.305,0.038,0.218,0,low,4.887033028,1.170011535,0.82983898,1,low
625,Burundi,SSA,Sub-Saharan Africa,2018,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,0,low,4.388201088,-0.207542482,0.084912845,1,low
626,Finland,WE,Western Europe,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,0,high,-3.757259685,0.271079657,0.730300024,0,high
627,Denmark,WE,Western Europe,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,0,high,-3.805569222,0.918849824,0.302596119,0,high
628,Norway,WE,Western Europe,2019,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,0,high,-3.823007607,0.660697839,-0.09008392,0,high
629,Iceland,WE,Western Europe,2019,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,0,high,-3.17922994,0.153918031,-1.699287935,0,high
630,Netherlands,WE,Western Europe,2019,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,0,high,-3.383628139,0.787857426,-0.566630798,0,high
631,Switzerland,WE,Western Europe,2019,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,0,high,-3.662735652,0.589883921,-0.029713835,0,high
632,Sweden,WE,Western Europe,2019,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,0,high,-3.491063223,0.854969984,0.150709567,0,high
633,New Zealand,NAANZ,North America and ANZ,2019,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,0,high,-3.57342623,1.266320503,-0.293560546,0,high
634,Canada,NAANZ,North America and ANZ,2019,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,0,high,-3.384008332,0.663885636,-0.287592825,0,high
635,Austria,WE,Western Europe,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,0,high,-2.95995811,-0.030339801,-0.453441964,0,high
636,Australia,NAANZ,North America and ANZ,2019,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,0,high,-3.327795246,0.775799309,-0.720939382,0,high
637,Costa Rica,LAC,Latin America and Caribbean,2019,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,0,high,-2.1162603,-0.935643486,-0.554466187,2,medium
638,Israel,MENA,Middle East and North Africa,2019,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,0,high,-2.088175305,-0.880476444,-1.463636818,2,medium
639,Luxembourg,WE,Western Europe,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,0,high,-3.318192315,-0.048509797,0.335824401,0,high
640,United Kingdom,WE,Western Europe,2019,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,0,high,-2.856953331,0.647343522,-0.986586359,0,high
641,Ireland,WE,Western Europe,2019,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,0,high,-3.245338633,0.542754771,-0.41890739,0,high
642,Germany,WE,Western Europe,2019,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,0,middle-high,-2.783636768,0.213928629,-0.36026615,0,high
643,Belgium,WE,Western Europe,2019,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,0,middle-high,-2.563183884,-0.717332564,-0.172084432,0,high
644,United States,NAANZ,North America and ANZ,2019,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,0,middle-high,-2.167032951,-0.306245841,-1.056917669,0,high
645,Czech Republic,CEE,Central and Eastern Europe,2019,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,0,middle-high,-1.775374442,-2.108843509,-0.347898478,2,medium
646,United Arab Emirates,MENA,Middle East and North Africa,2019,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,0,middle-high,-2.401235059,0.264621016,-0.225058665,0,high
647,Malta,WE,Western Europe,2019,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,0,middle-high,-2.614808514,0.521304382,-1.538499509,0,high
648,Mexico,LAC,Latin America and Caribbean,2019,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,0,middle-high,-1.204535192,-1.553647465,-0.168127565,2,medium
649,France,WE,Western Europe,2019,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,0,middle-high,-2.282254421,-1.22604248,-0.076880443,2,medium
650,Taiwan Province of China,SA,South Asia,2019,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,0,middle-high,-1.615903815,-0.880755376,-1.139540049,2,medium
651,Chile,LAC,Latin America and Caribbean,2019,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,0,middle-high,-1.226297649,-1.24446445,-1.030984294,2,medium
652,Guatemala,LAC,Latin America and Caribbean,2019,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,0,middle-high,-0.868655292,-0.419004778,-0.513175677,2,medium
653,Saudi Arabia,MENA,Middle East and North Africa,2019,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,0,middle-high,-1.530776223,-1.359563371,0.233887173,2,medium
654,Qatar,MENA,Middle East and North Africa,2019,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,0,middle-high,-2.322389363,-0.27532471,-0.062332283,0,high
655,Spain,WE,Western Europe,2019,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,0,middle-high,-1.771500849,-1.607021602,-0.930002338,2,medium
656,Panama,LAC,Latin America and Caribbean,2019,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,0,middle-high,-1.553008878,-1.408409351,-0.486616136,2,medium
657,Brazil,LAC,Latin America and Caribbean,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,0,middle-high,-0.978631801,-1.431294932,-0.452638372,2,medium
658,Uruguay,LAC,Latin America and Caribbean,2019,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,0,middle-high,-1.77206944,-0.837897254,-0.160856283,2,medium
659,Singapore,SEA,Southeast Asia,2019,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,0,middle-high,-3.58208687,1.025983404,0.546675531,0,high
660,El Salvador,LAC,Latin America and Caribbean,2019,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,0,middle-high,-0.544205083,-1.177439475,-0.218802255,2,medium
661,Italy,WE,Western Europe,2019,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,0,middle-high,-1.263425826,-2.070876528,-1.353081656,2,medium
662,Bahrain,MENA,Middle East and North Africa,2019,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,0,middle-high,-1.807904963,-0.243665339,-0.762363855,2,medium
663,Slovakia,CEE,Central and Eastern Europe,2019,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121,0,middle-high,-1.10631681,-1.981578136,-1.018721688,2,medium
664,Trinidad and Tobago,LAC,Latin America and Caribbean,2019,39,6.192,1.231,1.477,0.713,0.489,0.016,0.185,0,middle-high,-1.13021012,-1.063522532,-0.995313436,2,medium
665,Poland,CEE,Central and Eastern Europe,2019,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,0,middle-high,-1.414909203,-1.449676938,-0.542003683,2,medium
666,Uzbekistan,CIS,Commonwealth of Independent States,2019,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322,0,middle-high,-1.712584247,1.245985717,-0.824086704,0,high
667,Lithuania,CEE,Central and Eastern Europe,2019,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,0,middle-high,-0.910237435,-2.366124542,-0.500833571,2,medium
668,Colombia,LAC,Latin America and Caribbean,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,0,middle-high,-0.971954459,-1.491569322,-0.565323086,2,medium
669,Slovenia,CEE,Central and Eastern Europe,2019,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,0,middle-high,-1.883121751,-1.224386168,-0.683455985,2,medium
670,Nicaragua,LAC,Latin America and Caribbean,2019,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,0,middle-high,-0.751204872,-0.332709806,-0.739247523,2,medium
671,Kosovo,CEE,Central and Eastern Europe,2019,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,0,middle-high,-0.534623704,-0.339153688,-1.291900285,2,medium
672,Argentina,LAC,Latin America and Caribbean,2019,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,0,middle-high,-1.193114721,-1.719706845,-0.31789525,2,medium
673,Romania,CEE,Central and Eastern Europe,2019,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,0,middle-high,-0.791211864,-1.679096936,-0.274748548,2,medium
674,Cyprus,WE,Western Europe,2019,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,0,middle-high,-1.287397465,-1.236060809,-0.854488398,2,medium
675,Ecuador,LAC,Latin America and Caribbean,2019,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,0,middle-high,-0.997866414,-0.94518947,-0.332743138,2,medium
676,Kuwait,MENA,Middle East and North Africa,2019,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,0,middle-high,-1.515331976,-1.04963096,-0.086237447,2,medium
677,Thailand,SEA,Southeast Asia,2019,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,0,middle-high,-1.258503368,0.224516366,-1.84431037,2,medium
678,Latvia,CEE,Central and Eastern Europe,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,0,middle-high,-0.702922408,-2.063901848,-0.550946036,2,medium
679,South Korea,EA,East Asia,2019,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175,0,middle-high,-0.710958241,-1.812301851,-1.022386772,2,medium
680,Estonia,CEE,Central and Eastern Europe,2019,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,0,middle-high,-1.706931837,-1.07218216,-0.032290349,2,medium
681,Jamaica,LAC,Latin America and Caribbean,2019,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,0,middle-high,-0.805579488,-1.386979398,-0.760253255,2,medium
682,Mauritius,SSA,Sub-Saharan Africa,2019,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,0,middle-high,-1.096019793,-0.629142722,-0.928323774,2,medium
683,Japan,EA,East Asia,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,0,middle-high,-1.884514884,-1.643648209,0.04235882,2,medium
684,Honduras,LAC,Latin America and Caribbean,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,0,middle-high,-0.53255031,-0.017449356,-0.995968292,2,medium
685,Kazakhstan,CIS,Commonwealth of Independent States,2019,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,0,middle-high,-0.971482399,-1.114470194,-0.590990468,2,medium
686,Bolivia,LAC,Latin America and Caribbean,2019,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,0,middle-high,-0.301349376,-0.661451634,-0.277881682,2,medium
687,Hungary,CEE,Central and Eastern Europe,2019,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,0,middle-high,-0.345190774,-2.348667066,-0.798138181,2,medium
688,Paraguay,LAC,Latin America and Caribbean,2019,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,0,middle-high,-0.880231409,-0.59258279,-0.84909238,2,medium
689,North Cyprus,WE,Western Europe,2019,64,5.718,1.263,1.252,1.042,0.417,0.162,0.191,0,middle-high,-1.506440845,-0.674943762,-0.312793711,2,medium
690,Peru,LAC,Latin America and Caribbean,2019,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083,0,middle-high,-0.561820105,-1.547493002,-0.339176962,2,medium
691,Portugal,WE,Western Europe,2019,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,0,middle-high,-1.38353905,-2.028067305,-0.280171845,2,medium
692,Pakistan,SA,South Asia,2019,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22,0,middle-high,0.885963689,-0.007158701,-0.317211521,1,low
693,Russia,CIS,Commonwealth of Independent States,2019,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082,0,middle-high,-0.473848621,-1.920652671,-0.557882286,2,medium
694,Philippines,SEA,Southeast Asia,2019,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117,0,middle-high,-0.482220408,-0.511960586,0.028132936,2,medium
695,Serbia,CEE,Central and Eastern Europe,2019,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137,0,middle-high,-0.352777165,-1.648051526,-0.958453722,2,medium
696,Moldova,CEE,Central and Eastern Europe,2019,71,5.529,0.685,1.328,0.739,0.245,0,0.181,0,middle-high,0.449871555,-1.339877891,-1.418273505,2,medium
697,Libya,MENA,Middle East and North Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133,0,middle-high,-0.516137704,-0.661259065,0.033057554,2,medium
698,Montenegro,CEE,Central and Eastern Europe,2019,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,0,middle-high,-0.282606887,-1.642049802,-0.871994699,2,medium
699,Tajikistan,CIS,Commonwealth of Independent States,2019,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,0,middle-low,0.272369916,0.201650937,-0.551904845,2,medium
700,Croatia,CEE,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,0,middle-low,-0.387146092,-1.843503935,-0.715113333,2,medium
701,Hong Kong,EA,East Asia,2019,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,0,middle-low,-2.133382719,0.172810025,-0.064972381,0,high
702,Dominican Republic,LAC,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,0,middle-low,-0.803136352,-0.984235148,-0.198872498,2,medium
703,Bosnia and Herzegovina,CEE,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,0,middle-low,0.21014529,-1.028705054,-1.664545999,2,medium
704,Turkey,MENA,Middle East and North Africa,2019,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083,0,middle-low,-0.268199305,-1.887879613,-0.324384751,2,medium
705,Malaysia,SEA,Southeast Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26,0,middle-low,-0.691969221,-0.399192525,-0.946593791,2,medium
706,Belarus,CIS,Commonwealth of Independent States,2019,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,0,middle-low,-0.402212325,-1.571526015,-0.349919266,2,medium
707,Greece,WE,Western Europe,2019,82,5.287,1.181,1.156,0.999,0.067,0.034,0,0,middle-low,0.166302945,-3.022119887,-0.216202875,2,medium
708,Mongolia,EA,East Asia,2019,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,0,middle-low,-0.100921895,-0.886494108,-1.551910277,2,medium
709,Macedonia,CEE,Central and Eastern Europe,2019,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185,0,middle-low,-0.203018843,-1.147475087,-1.01190505,2,medium
710,Nigeria,SSA,Sub-Saharan Africa,2019,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215,0,middle-low,1.20070165,0.057197179,-0.5040069,1,low
711,Kyrgyzstan,CIS,Commonwealth of Independent States,2019,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3,0,middle-low,-0.104234508,0.06826938,-1.784724419,2,medium
712,Turkmenistan,CIS,Commonwealth of Independent States,2019,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244,0,middle-low,-0.335010022,-0.752699593,-1.492881259,2,medium
713,Algeria,MENA,Middle East and North Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,0,middle-low,0.501127949,-1.898062615,-0.159943698,2,medium
714,Morocco,MENA,Middle East and North Africa,2019,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,0,middle-low,0.514071562,-1.187374982,0.795359968,2,medium
715,Azerbaijan,CIS,Commonwealth of Independent States,2019,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,0,middle-low,-0.253958116,-1.230464106,0.787927731,2,medium
716,Lebanon,MENA,Middle East and North Africa,2019,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,0,middle-low,0.272808942,-1.508147623,-1.003665396,2,medium
717,Indonesia,SEA,Southeast Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,0,middle-low,-0.129198569,1.290210073,-2.312150372,2,medium
718,China,EA,East Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,0,middle-low,-0.629007267,-1.176429661,0.46928625,2,medium
719,Vietnam,SEA,Southeast Asia,2019,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147,0,middle-low,-0.530020232,-0.693080273,-0.530548686,2,medium
720,Bhutan,SA,South Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,0,middle-low,-0.210523318,1.096028692,-1.200290551,2,medium
721,Cameroon,SSA,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,0,middle-low,1.651263639,-0.088619976,-0.258250406,1,low
722,Bulgaria,CEE,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,0,middle-low,-0.215496574,-2.169116857,-0.873383204,2,medium
723,Ghana,SSA,Sub-Saharan Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,0,middle-low,1.336750334,0.13366552,-0.572173739,1,low
724,Ivory Coast,SSA,Sub-Saharan Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154,0,middle-low,1.927071964,0.043145299,0.351002469,1,low
725,Nepal,SA,South Asia,2019,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,0,middle-low,0.491368905,0.374081383,-1.193462615,2,medium
726,Jordan,MENA,Middle East and North Africa,2019,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,0,middle-low,-0.061628149,-0.934887848,-0.040761063,2,medium
727,Benin,SSA,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,0,middle-low,2.282734602,0.328364606,0.544804617,1,low
728,Congo (Brazzaville),SSA,Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,0,middle-low,1.343288244,-0.488754683,0.544673806,1,low
729,Gabon,SSA,Sub-Saharan Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,0,middle-low,0.683030158,-1.722999701,0.175761816,2,medium
730,Laos,SEA,Southeast Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,0,middle-low,0.255885579,0.940332018,-0.07523794,2,medium
731,South Africa,SSA,Sub-Saharan Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,0,middle-low,0.555913605,-0.969337342,-0.381247243,2,medium
732,Albania,CEE,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,0,middle-low,0.472560632,-0.823214026,-0.327548166,2,medium
733,Venezuela,LAC,Latin America and Caribbean,2019,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064,0,middle-low,0.432250079,-2.284613992,-0.722319169,2,medium
734,Cambodia,SEA,Southeast Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,0,middle-low,0.354476261,0.36147486,-0.545162523,2,medium
735,Palestinian Territories,MENA,Middle East and North Africa,2019,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,0,middle-low,0.98130753,-1.409009428,-0.535326699,2,medium
736,Senegal,SSA,Sub-Saharan Africa,2019,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,0,middle-low,1.331988821,-0.658330611,-0.548483356,1,low
737,Somalia,SSA,Sub-Saharan Africa,2019,112,4.668,0,0.698,0.268,0.559,0.27,0.243,0,middle-low,1.731479295,2.175816431,0.883466022,1,low
738,Namibia,SSA,Sub-Saharan Africa,2019,113,4.639,0.879,1.313,0.477,0.401,0.056,0.07,0,middle-low,0.70197015,-1.23941343,-0.015890319,2,medium
739,Niger,SSA,Sub-Saharan Africa,2019,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,0,middle-low,2.33219898,0.343313563,-0.048458728,1,low
740,Burkina Faso,SSA,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,0,middle-low,1.914460477,-0.12044986,-0.3544567,1,low
741,Armenia,CIS,Commonwealth of Independent States,2019,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,0,middle-low,0.68006464,-1.422392517,-0.143007141,2,medium
742,Iran,MENA,Middle East and North Africa,2019,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,0,middle-low,0.455495209,0.01568324,-0.344007515,2,medium
743,Guinea,SSA,Sub-Saharan Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,0,middle-low,2.043810068,0.253369663,-0.178887246,1,low
744,Georgia,CIS,Commonwealth of Independent States,2019,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,0,middle-low,0.864432817,-0.825833551,1.313986507,2,medium
745,Gambia,SSA,Sub-Saharan Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269,0,middle-low,1.552111891,1.010924989,-0.295749421,1,low
746,Kenya,SSA,Sub-Saharan Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,0,middle-low,1.138862752,0.955782782,-1.387939664,1,low
747,Mauritania,SSA,Sub-Saharan Africa,2019,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,0,middle-low,1.903457601,-1.37257564,-0.472220272,1,low
748,Mozambique,SSA,Sub-Saharan Africa,2019,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,0,middle-low,1.545014484,0.745997523,0.034483347,1,low
749,Tunisia,MENA,Middle East and North Africa,2019,124,4.461,0.921,1,0.815,0.167,0.055,0.059,0,middle-low,1.018654497,-1.929746312,-0.038456617,2,medium
750,Bangladesh,SA,South Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,0,middle-low,0.555629648,0.218084998,0.300838861,2,medium
751,Iraq,MENA,Middle East and North Africa,2019,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,0,middle-low,1.083407307,-0.899989478,-0.018327991,2,medium
752,Congo (Kinshasa),SSA,Sub-Saharan Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,0,middle-low,2.29761552,-0.059653212,-0.988395297,1,low
753,Mali,SSA,Sub-Saharan Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,0,middle-low,2.022156204,-0.373025869,-0.3952062,1,low
